CampaignPromises,DetailActivities,ManifestoReference,ElectedOffficial,ProgressStatusComments,ReferencedDocuments,ProgressStatus
"Control of the Wage Bill","Uncontrolled wages and salaries caused by bloated public sector through presidential appointments and establishment of commissions that largely usurp the line Ministries’ functions, unregulated wage increases, double or triple dipping of salaries and pension as well as uncoordinated recruitment across the public sector.

If we are to restore credibility to the service, we must coordinate the wage bill. If we are to enhance staff moral and improve on service delivery, we must control the wage bill. Wages and Salaries must be harmonized on the basis of fairness and equity in the use of public resources. A commissioner or a director or director general must have an aligned appropriate grading within the civil service comparable to other public sector workers, payroll verification exercise between

Government and NASSIT, public sector workers on Government payroll will be assigned biometric photos and personalized pin codes linked to NASSIT numbers. These measures, when implemented will lead to substantial savings to finance our programs. This will provide substantial savings to the Budget.","Financing the New Direction, Measures to Control Expenditure","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential","On 25th, April 2018, The Statehouse released Executive ""Order Number Two Immediate Expenditure Control Measures""

On 9th, May 2018, Statehouse released ""Chief Minister to slash LE 15 Billion (USD $2 million) wage bill left by the former office of the chief of staff""","internal:/sites/default/files/2018-05/executive-order-2-immediate-expenditure-control-measures-25th-april-2018.pdf, internal:/sites/default/files/2018-05/press-release-9th-may-2018.pdf","In Progress"
"Revenue Mobilisation","The overall objectives of the New Direction for revenue mobilization is to increase domestic revenue from the current 11.1% of GDP to 20% of GDP within 3 years and to build a fair, a transparent and accountable tax system that promotes investment and growth. Our key strategy is to push for better taxation collection rather than imposing new taxation. Such efforts hold the potential to stimulate growth and investment whilst also allowing for increased levels of tax collection. Specifically, the following shall be the focus:

Review existing tax laws, agreements, policies and strategies to ensure that they meet the objectives of maximising tax revenue collection as well as impacting on the well-being of all Sierra Leoneans, especially low-income earners and small business enterprises
	All holders of elective office and political appointees, including the President and Vice President will pay tax on their earnings to ensure fairness in the tax system
	Develop and legislate a National Tax Policy that articulates how the Sierra Leone Tax The system will look like in terms of focus, administration and rate changes in the medium term.The new National Tax Policy will ensure the coordination and harmonisation of taxing authorities in the country to avoid the multiplicity of taxes.
	Evaluate the on-going tax reforms with a view to enhancing the capacity of the National Revenue Authority (NRA) in tax assessment, collection and reporting through training; developing tax ICT infrastructure, working environment and introducing performance-based remuneration system for staff.
	Implement all audit reports findings and recommendations and ensure that every cent collected is paid into the Consolidated Revenue Fund.
	Enforce the Fiscal Accountability and Management Act that obligates all MDAs to transfer all funds to the Consolidated Revenue Fund. To this end, the new SLPP administration will immediately commence the implementation of the Treasury Single Account (TSA) system that would allow Government to aggregate receipts from all government sources in order to give a better oversight of public finances, improve cash management and reduce reliance on bank financing.
	Mandate the NRA and the Ministry of Finance to upload on a regular basis tax information on revenue collection by sectors, tax rates particularly on frequently imported commodities, assessment and rate of tax compliance by sector
	Further strengthen the tax administration core processes, specifically in the areas of filing, assessment and payment and in dispute resolution
	Develop the capacity of local councils, particularly the city councils, in revenue assessment and collection
	Establish a One-Stop Shop (OSS) that will enable importers to clear goods within 24 hours
	Develop a more robust and transparent policy and law for granting duty waivers
	Mobilise resources from non-traditional sources such as issuing of Diaspora Bonds within the context of controlling the debt burden, South-South cooperation, public-private partnerships, tourism and Carbon Financing.
	Develop and create strategic partnerships with crypto currency and crowd funding platforms through smart contracts using block chain technology to raise funds by pledging unexploited mineral deposits (gold, diamonds and rare earths) and using the funds to reinvest in social programmes like health care and education
	Enforce tax laws especially rental income taxation and ensure timely settlement of all tax obligations. For rental income tax, update rental income tax database using the existing database on holding and letting agents, and conduct field audits on rented apartments and houses","Improving the Macro-economy, Transforming the Economy","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Measures to Mobilise Additional Revenue","Our broad strategy is therefore to push for better taxation collection rather than imposing new taxation. We commit to increase domestic revenue to 20% over 3 years. Such efforts hold the potential to stimulate growth and investment whilst also allowing for increased levels of tax collection.Specifically, the following shall be the focus:

We intend to reduce these waivers by at least 50% in the first two years and level around 25-30% in 3rd to 5th year. These alone will provide additional revenue of around Le150 billion per year.  All holders of elective office and political appointees including the President and Vice President will pay tax on their earnings to ensure fairness in the tax system. This will generate additional taxes of at least Le15.0 billion per year.
	We will implement ECOWAS Common External Tariff (CET) fully like in other countries, generating additional resources of about Le35.0 billion yearly.
	Implement without delay the Treasury Single Account (TSA) system that would allow Government to aggregate receipts from all government sources in order to give a better oversight of public finances, improve cash management and reduce reliance on bank financing.
	Implement the Carbon Trade facility; this will yield an estimated annual revenue of US$60.0 million or Le450.0 billion","Financing the New Direction, Measures to Mobilise Additional Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Environmental Governance","Review the EPA 2010 Act
	Revise the Agriculture Policy, Energy Policy and the Forestry Policy to incorporate measures that will halt, reverse and minimize land degradation
	Monitor industrial establishments for compliance with environmental laws and regulations
	Establish independent agencies for disaster management and meteorology to improve the knowledge base and expand actions for early warning and disaster risk reduction
	Develop a flood risk management strategy as part of a more ambitious, robust, and adaptive environment and natural resources management policy and strategic plan
	Develop a climate change policy and strategy and a work programme for countrywide adaptation and resilience to climate change
	Ensure environmental sustainability of development policies, programmes and projects at national and local level by mainstreaming environmental issues across sectors particularly agriculture, energy, infrastructure, industry, decentralization, finance and planning
	Develop action plans for and fully implement all Multilateral Environmental Agreements (MEAs)
	Build institutional capacity to improve sectoral programming and coordination, sustainable financing, and effective financial management
	Establish a National Environment Fund and an environmental court to help with resource mobilization and environmental litigation;","Improving Environmental Management","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Sustainably Managing Forest Resources","Develop a national programme for the regeneration and shared management of forest cover and related products
	Provide alternatives to wood and biomass products for energy sources and promote agro-forestry
	Propose and operationalise a sustainable financing mechanism, including a benefit sharing mechanism for trade in carbon
	Strengthen public-private partnerships for forest conservation, especially the establishment of woodlots and commodification of Non-Timber Forest Products (NTFPs)
	Develop the capacity of the Forestry Division of the Ministry of Agriculture, Forestry and Food Security for planning, programme design and monitoring
	Revise the Forestry and Wildlife Acts of 2015 to harmonize them with best practices for adaptive collaborative forest governance across the region and promote Adaptive Collaborative Management (ACM) at all levels of forest management in the sector
	Adequately enforce laws and policies to protect forests and designate new areas for conservation and ecological tourism
	Promote research into forest ecosystems and biodiversity to quantify, document and disseminate the contribution of the forestry sub-sector to the national economy, and enhance the sub-sector’s position within national economic and sustainable development priorities; and
	Facilitate transboundary cooperation to transboundary forest resources management and policy harmonization;","Improving Environmental Management","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Ecosystem Conservation","Adequately protect biodiversity hotspots and fragile ecosystems
	Ensure that all major mining companies and industrial establishments carry out Environmental Impact Assessments and take mitigating measures for damage caused by their operations as required by law and corporate social responsibility
	Ensure that all major mining companies and industrial establishments carry out SEAs and EIAs to make sure appropriate mitigation and adaptation measures are taken before, during and after relevant processes
	Ratify and respect the provisions of various Conventions on the Environment and Climate Change
	Ensure that environmental matters are given priority in decision making on allocation of lands for various purposes. The issue of alternative land use, taking environmental damage into consideration, will be included in such decision making processes
	Give priority to energy use and conservation
	Emphasise the use of modern forms of energy to encourage a shift from the use of wood fuel as a major source of energy","Improving Environmental Management","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Environmental Education","Intensify education and information campaigns to reduce practices harmful to the environment
	Support the teaching of Environmental matters in the curricula of schools, colleges and universities.","Improving Environmental Management","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
Housing,"In the New Direction, the SLPP government will sanitize and reform the land tenure system to make it compatible with the increasing demands of a modern economy and ensure equitable distribution of land and related issues. Other specific policy actions will include;

Encourage the setting up of Home Finance Institutions
	Set up and enforce standards for building materials
	Encourage large-scale local production of building materials
	Provide fair and affordable access to decent housing to the citizenry either through public or private investments
	Improve access and distribution of imported and locally produced building materials
	Review and enhance the role and capacity of the Sierra Leone Housing Corporation (SALHOC) • Facilitate access to credit for building and mortgage for regular income and nonregular income earners
	Support rehabilitation programmes for public buildings and state owned quarters nationwide.
	Rehabilitate Police Barracks, Military Barracks and construct new modern multistorey quarters where necessary
	Support the creation of satellite areas around urban areas for housing major office buildings
	Pursue the feasibility of extending the limits of the capital of Freetown by the construction of a modern toll bridge linking Freetown with Lungi
	Ensure the provision of infrastructure services such as electricity, water supply and roads in new areas before they are developed for housing purposes
	The building of offices outside Freetown by public-private sector collaboration to ease congestion in the Central Business District
	Encourage private ventures to build multi-storey car parks, public toilets and bathing facilities in Towns and Cities by providing lands for such purposes;
	Develop a Land Acquisition Account and commence payments for buildings to be demolished in the planned areas to cover a 10 year period. Such areas will be used for car parks, recreation areas, transports and transit points
	Encourage banks to develop a housing loan fund that permits the construction companies to develop affordable housing
	Increase the width of access roads from 20’ to 30’ in all urban areas for vehicular and pedestrian traffic
	Encourage the creation of green spaces and on-plot car parking.","Improving Lands, Housing and Country Planning","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
Land,"In the New Direction, the SLPP government will sanitize and reform the land tenure system to make it compatible with the increasing demands of a modern economy and ensure equitable distribution of land and related issues. Other specific policy actions will include 

Implement the National Lands Policy 2015 ensuring justice for all
	Improve the management of state lands with a view to ensuring equitable distribution
	Develop the capacity of Ministry of Lands and Country Planning to enable it establish branches in all district headquarter towns
	Set up a Lands Court to help speed up the trial of land cases
	Build affordable housing around the country for the underprivileged • Create Land Banks to ensure availability and affordability
	In consultation with relevant professional bodies including the Sierra Leone Institution of Engineers (SLIE), the Professional Engineers Regulation Council and the Sierra Leone Institute of Architects (SLIA), improve the enforcement of land use planning and building regulations
	Digitize through the use of GPS all plots, streets and roads around the country
	Codify land tenure through a GIS Cadastral system with standard town lots as basic module. All private and state lands will be plotted as multiples of the standard lot.
	Large new and undeveloped areas to be pre-designed with standard lots and access roads prior to selling allowing for the provision of electricity and water services
	Enforce land use zoning system differentiating residential, commercial, industrial and mixed development areas
	Envision the modernization and beautification of the Western Area and particularly the City of Freetown 20 years into the future with multi-storey office and residential accommodation to replace the clusters of old, derelict, shanty, not fit for purpose buildings and create parking and green spaces around them. Flyovers will be built in key locations and critical road works in the City widened.
	The SLPP government will facilitate a national debate on land tenure reform consistent with the demands of a modern economy
	Improve the legal framework for leaseholds or gifts of land in the Provinces in order to make them amenable for collateral security and investment
	Revise legislation to remove the “non native” Sierra Leonean nomenclature and its attendant discrimination
	Structure the Land Policy so as to increase the scope for investment and provide for means of having legal redress
	Ensure land is available to all Sierra Leoneans anywhere in Sierra Leone","Improving Lands, Housing and Country Planning","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Rural Sanitation","Establish rural sanitary inspectorate that will be responsible for sensitising rural communities on improved sanitation practices and monitoring sanitation conditions in rural communities
	Develop and implement a National Community-Led Total Sanitation (CLTS) programmes that will promote improved sanitation practices in all villages in Sierra Leone
	 Develop the capacities of communities to construct latrines in rural areas","Increasing Access to Water Supply and Improved Sanitation","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Urban Sanitation","Carry out a study of the needs of urban sanitation and develop a central sewage system to replace pit latrines.
	Enforce the change from pit latrines to Pour Flush or Full Flush in cities
	Re-introduce special cleaning day (last Saturday in a month)
	Strengthen and expand coverage of public-private partnership in garbage collection
	Introduce recycling and incinerator facilities
	Promote waste to energy project
	Re-introduce sanitary inspectors under the supervision of the local councils
	Consider alternatives to use of plastic bags
	Implement a rain water drainage system for the cities with high rainfall.","Increasing Access to Water Supply and Improved Sanitation","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Rural Water Supply","Construct boreholes, gravity water systems and solar water pumping schemes attached to shallow water wells in all villages
	Develop the capacity of Local Councils to effectively handle water supply issues in provincial areas
	Develop capacity of local councils and communities maintenance of water supply facilities
	Improve the coordination of the work of various International agencies and NGOs involved in water provision
	Engage in research and development of alternative water sources such as the harvesting of rain water","Increasing Access to Water Supply and Improved Sanitation","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Urban Water Supply","Construct a new water reservoir for Freetown and its immediate environs
	Construct boreholes and gravity water supply facilities in hard to reach peri-urban areas in Western Area
	Rehabilitate water distribution network in Freetown and construct stand pipes in deprived communities
	Introduce flow meters to reduce wastage in urban towns.
	Rehabilitate existing water dams and protect all major watershed areas against deforestation and other environmental problems
	Speed up institutional and regulatory reforms of the sector, especially at GVWC and SALWACO, to improve on efficiency and cost recovery
	Separate water generation from water distribution and supply responsibilities as it is now the case with electricity
	Strengthen the maintenance culture and capacity of Guma Valley Water Company
	Encourage rain water harvesting all over the country","Increasing Access to Water Supply and Improved Sanitation","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Railway Transportation","In the New Direction, the SLPP administration will consider instituting a National Railway Scheme following appropriate feasibility studies","Railway Transportation","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Sea Transportation","In the New Direction, the overall objective of sea port development is to provide a conducive and competitive port facility. To this end, the specific policy actions shall include

The parastatal agencies responsible for overseeing sub-sectors will be restructured and reformed with an emphasis on management improvements, privatization of certain functions and sustainable financing through user-fee based services and toll roads.
	Construct additional storage facilities as well as pumps and pipelines to increase the material loading rate
	Handle the remaining privatisation programme for the Port transparently
	Continue current expansion of port facilities to handle OGVs and ensure efficient discharges of cargo
	Establish a One Stop window at the SLPA for speedy processing of customs and other import and export clearances.  Institute policies and regulations that will help reduce the costs of shipping and clearing goods
	Re-organise the Maritime Protection Agency to make it more effective
	Carry out a feasibility study to convert the Nitti sea port used by mining companies into a commercial sea port
	Develop a port at Sulima with the objective of supporting mining operations
	Ensure quality and pro-poor safe ferry services to various destinations where land access is restricted by constructing new berthing facilities and jetties
	Encourage and promote private sector development of inland water transportation services for passenger and goods as an alternate mode to road transport by using larger, more efficient boat buses and ferries between for example, Bonthe-Shenge – Freetown, Sulima – Freetown- Port Loko etc","Improving Transport","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Improving Air Transportation","In the New Direction we will work in consonance with the ECOWAS Vision 2020 to improve the Air Transport sector by developing a sound and seamless regional air transport system that is safe, reliable, efficient and affordable, well connected within West Africa and integrated with the global network. Specific policy actions will include:

Enhance global civil aviation safety by certifying the Freetown International Airport at Lungi to meet international standards
	Improve ferry and sea coach services between Targrin and Freetown to support passenger travel and comfort
	Enhance global civil aviation security and facilitation
	Develop an Air transport master plan to foster the development of a sound and economically viable civil aviation system; develop Lungi International airport into an aerotropolis involving the development of an airport city which essentially will provide one stop airport support facilities including hotels, conferencing facilities, shops, restaurants etc. This will be a mix market high-density commercial development to serve as economic growth node and generate employment and improve incomes in the local economy
	Develop airport services and create a hub to handle increased foreign traffic to the East Coast USA, North Africa, Europe and South America and create a new carrier - Sierra International Airlines
	Create a sub-regional hub at Hastings/FNA with Air taxi services
	Revive all abandoned airstrips where practicable and construct new airstrips where necessary
	De-politicise the management of the SLAA and the CAA
	Privatise some airport services in a transparent manner","Improving Transport","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
